isbn,original_title,authors
1423119509,Percy Jackson and the Olympians,"Rick Riordan, Tk"
525952764,Catch Me,Lisa Gardner
778321606,The Shop on Blossom Street,Debbie Macomber
1560768800,Starless Night (Legacy of the Drow #2),R.A. Salvatore
446616621,Night Fall,Nelson DeMille
316000957,"Trials of Death (Cirque du Freak, #5) ",Darren Shan
446539813,Robert Ludlum's The Bourne Objective,"Eric Van Lustbader, Robert Ludlum"
,The Score,Elle Kennedy
310247535,Even Now,Karen Kingsbury
316059862,Testimony,Anita Shreve
1937007588,Magic Rises,Ilona Andrews
345524616,Whispers Under Ground,Ben Aaronovitch
031621129X,Unlucky 13,"James Patterson, Maxine Paetro"
446604089,The Best Laid Plans,Sidney Sheldon
61433012,Nation,Terry Pratchett
61259349,Secrets of a Summer Night,Lisa Kleypas
1595540342,Red,Ted Dekker
312655452,A Trick of the Light,Louise Penny
,White Hot Kiss,Jennifer L. Armentrout
4757518080,Pandora Hearts 1,"Jun Mochizuki, 望月淳"
345329457,At the Mountains of Madness,H.P. Lovecraft
60596988,Lit,Mary Karr
893662135,"Dragonsdawn (Pern: Dragonriders of Pern, #6)",Anne McCaffrey
399252649,Mockingbird,Kathryn Erskine
,28 حرف,أحمد حلمي
1590521358,I Kissed Dating Goodbye: New Attitude Toward Romance and Relationship,Joshua Harris
808553038,The Egypt Game,Zilpha Keatley Snyder
375703055,Ellen Foster,Kaye Gibbons
805210555,Sämtliche Erzählungen,"Franz Kafka, Nahum N. Glatzer, John Updike, Willa Muir, Edwin Muir, Tania Stern, James Stern, Ernst Kaiser, Eithne Wilkins"
156924264X,Veganomicon: The Ultimate Vegan Cookbook,"Isa Chandra Moskowitz, Terry Hope Romero"
786933887,"Test of the Twins (Dragonlance Legends, #3)","Margaret Weis, Tracy Hickman"
374530637,Wise Blood,Flannery O'Connor
9753638027,Kürk Mantolu Madonna,Sabahattin Ali
345379624,Running with the Demon,Terry Brooks
1557488150,In His Steps,Charles M. Sheldon
1439136823,Lothaire,Kresley Cole
1423102991,Knuffle Bunny Too: A Case of Mistaken Identity,Mo Willems
446195979,The Whole Truth,David Baldacci
61628018,"Stolen Innocence: My Story of Growing Up in a Polygamous Sect, Becoming a Teenage Bride, and Breaking Free of Warren Jeffs","Elissa Wall, Lisa Pulitzer"
039925692X,Out of the Easy,Ruta Sepetys
1401216226,Batman: The Man Who Laughs,"Ed Brubaker, Doug Mahnke, Patrick Zircher, Aaron Sowd, Steve Bird"
60744510,Midnight,Erin Hunter
62273205,The Hard Thing about Hard Things: Building A Business When There Are No Easy Answers,Ben Horowitz
1461052149,,Jessica Sorensen
345348664,The Illearth War,Stephen R. Donaldson
340936150,My Booky Wook,Russell Brand
425259862,Shadow Spell,Nora Roberts
1592406521,Just My Type: A Book About Fonts,Simon Garfield
399155481,Promises in Death,J.D. Robb
876853629,"Love Is a Dog from Hell: Poems, 1974-1977",Charles Bukowski
316229296,The Fifth Season,N.K. Jemisin
1846247195,,R.D. Ronald
552150215,The Analyst,John Katzenbach
670019631,Shades of Grey,Jasper Fforde
140389660,"That Was Then, This Is Now",S.E. Hinton
307582396,The Mysterious Benedict Society and the Prisoner's Dilemma,"Trenton Lee Stewart, Del Roy"
61579033,The Family Fang,Kevin    Wilson
60744871,The Pursuit of Happyness,Chris Gardner
,Min kamp 1,Karl Ove Knausgård
385342322,A Red Herring Without Mustard,Alan Bradley
684804484,No Ordinary Time: Franklin and Eleanor Roosevelt: The Home Front in World War II,Doris Kearns Goodwin
375701907,Straight Man,Richard Russo
375701966,The Moviegoer,Walker Percy
413774031,Вишнëвый сад,"Anton Chekhov, Tom    Murphy"
545052394,11 Birthdays,Wendy Mass
026110215X,Unfinished Tales of Númenor and Middle-Earth,"J.R.R. Tolkien, Christopher Tolkien"
385521227,Sisterhood Everlasting,Ann Brashares
451452011,Infinity Welcomes Careful Drivers,Grant Naylor
60735430,Coyote Blue,Christopher Moore
,فوضى الحواس,"أحلام مستغانمي, Ahlam Mosteghanemi"
160096527X,Orthodoxy,G.K. Chesterton
60542098,Fancy Nancy,"Jane O'Connor, Robin Preiss Glasser"
99478420,The Heart of the Matter,Graham Greene
141971189X,The Long Haul ,Jeff Kinney
152046917,,"Patricia C. Wrede, Peter de Sève"
316018708,Sail,"James Patterson, Howard Roughan"
1408859645,The Sleeper and the Spindle,"Neil Gaiman, Chris Riddell"
045141991X,,Susan Meissner
452281431,Beauty's Punishment,"A.N. Roquelaure, Anne Rice"
1414310560,The Negotiator,Dee Henderson
143417231,Can Love Happen Twice?,Ravinder Singh
60548924,A Lion Among Men,"Gregory Maguire, Douglas Smith"
380720868,"Shadow of a Dark Queen (The Serpentwar Saga, #1)",Raymond E. Feist
802136680,This Boy's Life: A Memoir,Tobias Wolff
312382855,Patient Zero,Jonathan Maberry
679728899,Death Comes for the Archbishop,Willa Cather
1841497967,,Patricia Briggs
1423194551,The Son of Sobek,Rick Riordan
1854596373,"Le Tartuffe, ou L’Imposteur","Molière, Martin Sorrell"
446401056,Passion Unleashed,Larissa Ione
1421514818,高校デビュー 1,Kazune Kawahara
9953716889,في ديسمبر تنتهي كل الأحلام,أثير عبدالله النشمي
030711838X,Just for You,Mercer Mayer
60002492,Amazonia,James Rollins
380810336, Feeling Good: The New Mood Therapy,David D. Burns
515141399,Blue Smoke,Nora Roberts
425210278,Predator,Patricia Cornwell
894864025,Codependent No More: How to Stop Controlling Others and Start Caring for Yourself,Melody Beattie
1933480092,Обломов,"Ivan Goncharov, Stephen Pearl, Galya Diment"
743426800,Inca Gold,Clive Cussler
1400069629,Delicious!,Ruth Reichl
446504122,NurtureShock: New Thinking About Children,"Po Bronson, Ashley Merryman"
044657967X,Wild Fire,Nelson DeMille
743497295,Two Little Girls in Blue,Mary Higgins Clark
055327211X,Daughter of the Empire,"Raymond E. Feist, Janny Wurts"
689872372,Everlost,Neal Shusterman
1439136807,Dreams of a Dark Warrior,Kresley Cole
142428698,"Theodore Boone, Kid Lawyer","John Grisham, Richard Thomas"
224063979,Jimmy Corrigan: The Smartest Kid on Earth,Chris Ware
142300705,A Year Down Yonder,Richard Peck
,Own the Wind,Kristen Ashley
8423648990,Marina,Carlos Ruiz Zafón
1594487588,,Ann Brashares
679744479,Written on the Body,Jeanette Winterson
1450595987,Tiger's Voyage,Colleen Houck
7203116,Dean Koontz's Frankenstein: Dead and Alive,Dean Koontz
60894083,Genome: The Autobiography of a Species in 23 Chapters,Matt Ridley
671449028,The Going-To-Bed Book,Sandra Boynton
64473627,Knocked out by my nunga-nungas,Louise Rennison
842332294,The Sacrilege: The Antichrist Takes the Throne,"Tim LaHaye, Jerry B. Jenkins"
1594204993,Redeployment,Phil Klay
385733976,Going Bovine,Libba Bray
752861743,The Postman Always Rings Twice ,James M. Cain
385736843,The Dead-Tossed Waves ,Carrie Ryan
965925072,Shadow Divers: The True Adventure of Two Americans Who Risked Everything to Solve One of the Last Mysteries of World War II,Robert Kurson
385907508,Moon Over Manifest,Clare Vanderpool
375758771,The Glass Palace,Amitav Ghosh
1595144358,,"Jessica Anthony, Rodrigo Corral"
125001011X,,Lisa Scottoline
385741391,The Eye of Minds,James Dashner
1579126936,4.50 From Paddington,Agatha Christie
749934123,Ceremony in Death,J.D. Robb
345807154,Kakerlakkene,"Jo Nesbø, Don Bartlett"
425212033,Grave Surprise,Charlaine Harris
60535032,La ciudad de las bestias,"Isabel Allende, Margaret Sayers Peden"
9770915343,أولاد حارتنا,"Naguib Mahfouz, نجيب محفوظ"
345460014,The Scar,China Miéville
60751649,Haunted,Meg Cabot
689860064,"Dragondrums (Pern: Harper Hall, #3)",Anne McCaffrey
446574465,The Story of Beautiful Girl,Rachel Simon
140280553,Galileo's Daughter,Dava Sobel
553241605,Mila 18,Leon Uris
545176867,,Allen Say
071956896X,Sea of Poppies,Amitav Ghosh
553290991,Nightfall,"Isaac Asimov, Robert Silverberg"
152018484,How I Became a Pirate,"Melinda Long, David Shannon"
61129763,"The Monkey Wrench Gang (Monkey Wrench Gang, #1)",Edward Abbey
1400063841,Last Night in Twisted River,John Irving
006204964X,Love wins,Rob Bell
451233182,Bite Club,Rachel Caine
312933541,A Matter of Honor,Jeffrey Archer
743482883,Mr. Perfect,Linda Howard
,Up to Me,M. Leighton
,Waking Up Married,Mira Lyn Kelly
055380555X,No Time for Goodbye,Linwood Barclay
60730269,"Ida B. . . and Her Plans to Maximize Fun, Avoid Disaster, and (Possibly) Save the World",Katherine Hannigan
7273746,The Dragon Keeper,Robin Hobb
195007778,A Sand County Almanac,Aldo Leopold
805072063,Lassie Come-Home,"Eric Knight, Marguerite Kirmse"
1932100660,"The China Study: The Most Comprehensive Study of Nutrition Ever Conducted and the Startling Implications for Diet, Weight Loss and Long-term Health","T. Colin Campbell, Thomas M. Campbell II"
333710932,The Gruffalo,"Julia Donaldson, Axel Scheffler"
345455290,The Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams
1857987632,The City and the Stars,Arthur C. Clarke
2723495612,東京喰種トーキョーグール 1,"Sui Ishida, 石田 スイ"
316737372,How to train your dragon,Cressida Cowell
034911188X,Brief Interviews with Hideous Men,David Foster Wallace
1416516727,All Around the Town,Mary Higgins Clark
61767581,L.A. Candy,Lauren Conrad
1440154236,The Siren,Kiera Cass
340686030,The Quiet Game,Greg Iles
679764410,American Sphinx: The Character of Thomas Jefferson,Joseph J. Ellis
307948684,Hodejegerne,"Jo Nesbø, Don Bartlett"
399153357,The Messenger,Daniel Silva
141023422,The Sheltering Sky,Paul Bowles
1406331163,The Rest of Us Just Live Here,Patrick Ness
345495357,The Lady Elizabeth,Alison Weir
1455503258,The Astronaut Wives Club,Lily Koppel
375757910,The Man Who Was Thursday - A Nightmare,"G.K. Chesterton, Jonathan Lethem"
006008460X,Cheaper by the Dozen,"Frank B. Gilbreth Jr., Ernestine Gilbreth Carey"
446581194,The Monster of Florence: A True Story,"Douglas Preston, Mario Spezi"
031605755X,Winter's Bone,Daniel Woodrell
553816322,"Seduced by Moonlighty (Merry Gentry, #3)",Laurell K. Hamilton
60888644,Sword Song,Bernard Cornwell
61251348,Deceptively Delicious: Simple Secrets to Get Your Kids Eating Good Food,Jessica Seinfeld
316780375,The Weight of Water,Anita Shreve
1301786454,Music of the Heart,Katie Ashley
451203771,The Scarlet Feather,Maeve Binchy
988489112,,Aleatha Romig
60507772,The Last Hero,"Terry Pratchett, Paul Kidby"
553275720,Fantastic Voyage,Isaac Asimov
312243359,We Wish to Inform You That Tomorrow We Will Be Killed with Our Families,Philip Gourevitch
161638610X,,Jonathan Cahn
62073168,The English Girl,Daniel Silva
1400068169,Clara and Mr. Tiffany,Susan Vreeland
316254770,The Geography of You and Me,Jennifer E. Smith
1409521966,Angel ,L.A. Weatherly
1416997946,"Seeds of Rebellion (Beyonders, #2)",Brandon Mull
440228654,Chinese Cinderella: The True Story of an Unwanted Daughter,Adeline Yen Mah
425182878,Chosen Prey,John Sandford
785139877,,"Bryan J.L. Glass, Tim Seeley, Hugo Petrus, Raymond E. Feist"
,,Vi Keeland
451225007,The Black Dagger Brotherhood: An Insider's Guide,J.R. Ward
1600104835,Head Games ,"Joe Hill, Gabriel Rodríguez"
192751034,Ramona and Her Father,"Beverly Cleary, Alan Tiegreen"
1600963943,The Secret Adversary,Agatha Christie
394752848,Rayuela,"Julio Cortázar, Gregory Rabassa"
345528204,Fallen,Karin Slaughter
1250091845,Stars Above,Marissa Meyer
038551851X,Clapton: The Autobiography,Eric Clapton
312421435,No Logo,Naomi Klein
451210557,No Second Chance,Harlan Coben
446698229,Fear and Loathing on the Campaign Trail '72,Hunter S. Thompson
743219600,Shroud for a Nightingale,P.D. James
1250019834,First Frost,Sarah Addison Allen
330426648,Stories of Your Life and Others ,Ted Chiang
9707704667,Travesuras de la niña mala,Mario Vargas Llosa
1565126807,The Girl Who Fell From the Sky,Heidi W. Durrow
375727272,Lunar Park,Bret Easton Ellis
553804324,"Hide (Detective D.D. Warren, #2) ",Lisa Gardner
9832672368,Ayat-ayat Cinta,Habiburrahman El-Shirazy
1682305031,Broken prince,Erin Watt
385349831,Manuscrito encontrado em Accra,"Paulo Coelho, Margaret Jull Costa"
031238078X,Save Me,Lisa Scottoline
7117140,Weaveworld,Clive Barker
671758896,"Loves Music, Loves to Dance",Mary Higgins Clark
689869126,The Rivers of Zadaa,D.J. MacHale
,Sweet Dreams,Kristen Ashley
345438310,Nicholas and Alexandra,Robert K. Massie
345527771,Wicked Business,Janet Evanovich
037587089X,Escape from Mr. Lemoncello's Library,Chris Grabenstein
345414004,Friday,Robert A. Heinlein
1414318634,"Her Mother's Hope (Marta's Legacy, #1)",Francine Rivers
395870828,Tuesday,David Wiesner
399148701,Red Rabbit,Tom Clancy
886773784,Arrows of the Queen (Heralds of Valdemar #1),Mercedes Lackey
374521727,Slouching Towards Bethlehem: Essays,Joan Didion
6497012,Rise of a Merchant Prince,Raymond E. Feist
62002325,Angelfire,Courtney Allison Moulton
1451665601,Mile 81,Stephen King
312426232,The Brooklyn Follies,Paul Auster
689859392,The Ironwood Tree,"Holly Black, Tony DiTerlizzi"
689846231,The Yearling,Marjorie Kinnan Rawlings
373210639,Dare You To,Katie McGarry
446569895,I Am Ozzy,"Ozzy Osbourne, Chris Ayres"
767915305,The Sex Lives of Cannibals: Adrift in the Equatorial Pacific,J. Maarten Troost
778313077,Touch of Power,Maria V. Snyder
375703063,A Virtuous Woman ,Kaye Gibbons
515128546,Tears of the Moon,Nora Roberts
316000973,"The Vampire Prince (Cirque Du Freak, #6)",Darren Shan
034537472X,The Sapphire Rose ,David Eddings
1476798176,Did You Ever Have a Family,Bill Clegg
751531219,The Gold Coast,Nelson DeMille
684839385,On Death and Dying,Elisabeth Kübler-Ross
1780892888,14th Deadly Sin,"James Patterson, Maxine Paetro"
60562498,It Happened One Autumn,Lisa Kleypas
399155163,Scarpetta,Patricia Cornwell
055350584X,"Darkness, Take My Hand",Dennis Lehane
786901640,Siege of Darkness,R.A. Salvatore
1416983244,,Ellen Hopkins
,Play With Me,Kristen Proby
425189031,Portrait in Death,J.D. Robb
,Second Chance Boyfriend,Monica  Murphy
1401202322,Y: The Last Man Vol. 4: Safeword,"Brian K. Vaughan, Pia Guerra, Goran Parlov, José Marzán Jr."
399171088,The Collector,Nora Roberts
515138819,Sunshine,Robin McKinley
312939027,"""D"" is for Deadbeat ",Sue Grafton
1608195228,Salvage the Bones,Jesmyn Ward
,The Hook Up,Kristen Callihan
345481291,Throne of Jade,Naomi Novik
671447548,Mornings on Horseback,David McCullough
1401210090,Y: The Last Man Vol. 7: Paper Dolls,"Brian K. Vaughan, Pia Guerra, Goran Sudžuka, José Marzán Jr."
345455681,London: The Novel,Edward Rutherfurd
1480118516,Silence,Natasha Preston
1250059305,My True Love Gave to Me: Twelve Holiday Stories,"Stephanie Perkins, Holly Black, Ally Carter, Matt de la Pena, Gayle Forman, Jenny Han, David Levithan, Kelly Link, Myra McEntire, Rainbow Rowell, Laini Taylor, Kiersten White"
,Sand Omnibus,Hugh Howey
1612184715,Off to Be the Wizard,Scott  Meyer
679753338,Nobody's Fool,Richard Russo
451076451,Rage,"Richard Bachman, Stephen King"
140447423,Germinal,"Émile Zola, Roger Pearson"
,Ceaseless,Abbi Glines
224093614,,Michael Ondaatje
1857988221,The Demolished Man,Alfred Bester
1423121295,Lost In Time,Melissa de la Cruz
60725125,Ninth Key,Meg Cabot
425100650,Twilight Eyes,Dean Koontz
525954570,Find Her,Lisa Gardner
1939392748,Frigid,"J. Lynn, Jennifer L. Armentrout"
553383833,De amor y de sombra,"Isabel Allende, Margaret Sayers Peden"
805088415,The Evolution of Calpurnia Tate,Jacqueline Kelly
1423108760,Bad Girls Don't Die,Katie Alender
425204030,Atlantis Found,Clive Cussler
307377326,Asterios Polyp,David Mazzucchelli
345383273,Domes of Fire,David Eddings
1582405301,"The Walking Dead, Vol. 4: The Heart's Desire","Robert Kirkman, Charlie Adlard, Cliff Rathburn"
439846838,The Stonekeeper's Curse,Kazu Kibuishi
446695688,Sick Puppy,Carl Hiaasen
836217357,The Days Are Just Packed: A Calvin and Hobbes Collection,Bill Watterson
1600610862,"An Illustrated Life: Drawing Inspiration From The Private Sketchbooks Of Artists, Illustrators And Designers",Danny Gregory
307990672,Odd Apocalypse,Dean Koontz
679752552,Surveiller et punir. Naissance de la prison,"Michel Foucault, Alan Sheridan, Thomas Mathiesen, Walter Seitter, Drago Braco Rotar"
743412028,Pay It Forward,Catherine Ryan Hyde
1401307922,The Creative License: Giving Yourself Permission to Be The Artist You Truly Are,Danny Gregory
1591169283,満月をさがして 1,"Arina Tanemura, Tomo Kimura"
60935766,Harlequin,Bernard Cornwell
1594481571,Plan B: Further Thoughts on Faith,Anne Lamott
812974042,In the Company of the Courtesan,Sarah Dunant
345531485,The Skull Throne,Peter V. Brett
312369506,Devil May Cry,Sherrilyn Kenyon
,Two By Two,Nicholas Sparks
316013838,Sea Glass,Anita Shreve
1582349010,River Secrets,Shannon Hale
1250034485,Be Careful What You Wish For,Jeffrey Archer
1461072514,Inescapable,Amy A. Bartol
61668095,Illusions,Aprilynne Pike
451165667,Fatal Vision,Joe McGinniss
1594201501,Gang Leader for a Day,Sudhir Venkatesh
785127224,"Magician: Apprentice (The Riftwar Saga, #1) ","Raymond E. Feist, Michael Avon Oeming, Bryan J.L. Glass, Ryan Stegman"
785281126,Developing the Leader Within You,John C. Maxwell
7157177,That Hideous Strength,C.S. Lewis
62331159,The Bees,Laline Paull
385664443,Ape House,Sara Gruen
345422554,Polgara the Sorceress,"David Eddings, Leigh Eddings"
385539088,China Rich Girlfriend,Kevin Kwan
736918833,A Woman After God's Own Heart,Elizabeth George
1416543694,State Of The Union,Brad Thor
1250015545,The Good House,Ann Leary
446675369,"Bless Me, Ultima",Rudolfo Anaya
375703845,Glamorama,Bret Easton Ellis
312939043,F is for Fugitive,Sue Grafton
8770530688,"Frelseren (Harry Hole, #6)",Jo Nesbø
375703829,Seta,Alessandro Baricco
312593317,Boomerang,Tatiana de Rosnay
842332308,The Remnant: On the Brink of Armageddon,"Tim LaHaye, Jerry B. Jenkins"
156106809,Il barone rampante,"Italo Calvino, Archibald Colquhoun"
316133191,"Twilight: The Graphic Novel,","Stephenie Meyer, Young Kim"
,Raw,Belle Aurora
380809060,The Great Book of Amber,Roger Zelazny
778303829,The Darkest Lie (Lords of the Underworld #6),Gena Showalter
8370540910,Czas pogardy,Andrzej Sapkowski
,That Boy,Jillian Dodd
385535589,The Dressmaker,Kate Alcott
743474163,Paradise,Judith McNaught
395304482,Jumanji,Chris Van Allsburg
068816112X,Replay,Ken Grimwood
307377334,Incognito: The Secret Lives of the Brain,David Eagleman
393062244,Death by Black Hole: And Other Cosmic Quandaries,Neil deGrasse Tyson
385491069,The Edible Woman,Margaret Atwood
061861916X,The Ancestor's Tale: A Pilgrimage to the Dawn of Evolution,Richard Dawkins
1250044650,Heartless,Marissa Meyer
60757353,The Pigman,Paul Zindel
385515502,Deep Storm,Lincoln Child
545284104,Abandon,Meg Cabot
1400031818,The Full Cupboard of Life,Alexander McCall Smith
60751967,How to Marry a Millionaire Vampire,Kerrelyn Sparks
679882804,The Foot Book: Dr. Seuss's Wacky Book of Opposites (Bright & Early Board Books),Dr. Seuss
,Beautiful Bitch,Christina Lauren
068987779X,"The Recruit (Cherub, #1)",Robert Muchamore
078948045X,Anatomy for the Artist,Sarah Simblet
385493622,Fermat's Enigma: The Epic Quest to Solve the World's Greatest Mathematical Problem,Simon Singh
684832356,The Christmas Box,Richard Paul Evans
557364639,My Blood Approves,Amanda Hocking
,Until November,Aurora Rose Reynolds
014017821X,The Bloody Chamber & Other Stories,Angela Carter
60012781,A Cook's Tour: Global Adventures in Extreme Cuisines,Anthony Bourdain
61176109,Power of Art,Simon Schama
1602862567,"Finding me : A Decade of Darkness, a Life Reclaimed","Michelle Knight, Michelle Burford"
051511779X,Born in Shame,Nora Roberts
738718688,Return to Paradise,Simone Elkeles
,My Heart and Other Black Holes,Jasmine Warga
62295896,Girl in a Band,Kim Gordon
525478922,"Ninth Grade Slays (The Chronicles of Vladimir Tod, #2)",Heather Brewer
399153934,Book of the Dead,Patricia Cornwell
691017840,The Hero with a Thousand Faces,Joseph Campbell
399156909,Bad Blood,John Sandford
1577780728,"Jesus Freaks: DC Talk and The Voice of the Martyrs - Stories of Those Who Stood for Jesus, the Ultimate Jesus Freaks","D.C. Talk, The Voice of the Martyrs"
1594204217,Cooked: A Natural History of Transformation ,Michael Pollan
451456718,Daughter of the Blood,Anne Bishop
765326574,The Lost Gate,Orson Scott Card
307960498,"Politi (Harry Hole, #10)","Jo Nesbø, Don Bartlett"
5559609129,Vittorio the Vampire,Anne Rice
1569314063,ふしぎ遊戯 1,"Yuu Watase, Yuji Oniki"
097915930X,The Lace Reader,Brunonia Barry
970398107,Anne Rice's The Tale of the Body Thief (Graphic Novel),"Faye Perozich, Travis Moore, Michael Halbleib, Daerick Gröss, Anne Rice"
802141676,The Lone Ranger and Tonto Fistfight in Heaven,Sherman Alexie
345443608,"A Stroke of Midnight (Merry Gentry, #4)",Laurell K. Hamilton
,The Chemist,Stephenie Meyer
618562036,Empress Orchid,Anchee Min
1401323588,"And Another Thing... (Hitchhiker's Guide to the Galaxy, #6)",Eoin Colfer
743453018,,Kathy Reichs
061579615X,Damaged,H.M. Ward
140367462,The Princess and the Goblin,"George MacDonald, Arthur Hughes"
1605981737,Predikanten,"Camilla Läckberg, Steven T. Murray"
7169957,There's a Wocket in My Pocket,Dr. Seuss
425194515,Midnight,Dean Koontz
312361270,The Gatecrasher,Madeleine Wickham
60733357,The Confusion,Neal Stephenson
857522272,Raising Steam,Terry Pratchett
547959206,Independent Study,Joelle Charbonneau
399163840,X,Sue Grafton
60567236,Lord of Light,"Roger Zelazny, Sönmez Güven"
224064924,Esio Trot,"Roald Dahl, Quentin Blake"
1593070918,Hellboy: The Chained Coffin and Others,Mike Mignola
307279952,A Simple Plan,Scott B. Smith
316018740,Run for Your Life,"James Patterson, Michael Ledwidge"
374529949,Play It as It Lays,"Joan Didion, David Thomson"
553590154,Dime Store Magic,Kelley Armstrong
553573357,Blue Mars ,Kim Stanley Robinson
722533942,As Valkírias,"Paulo Coelho, Alan R. Clarke"
1250022061,The Long Way Home,Louise Penny
375865861,Please Ignore Vera Dietz,A.S. King
60766212,The Spook's Curse,"Joseph Delaney, Patrick  Arrasmith"
006102001X,The Struggle,L.J. Smith
440237556,The Dark Highlander,Karen Marie Moning
440237564,The Immortal Highlander ,Karen Marie Moning
812971892,"No god but God: The Origins, Evolution, and Future of Islam",Reza Aslan
679734465,Valis,Philip K. Dick
679724516,"Le deuxième sexe: I. Les faits et les mythes, II. L'expérience vécue","Simone de Beauvoir, H.M. Parshley, Deirdre Bair"
545284155,The Runaway King,Jennifer A. Nielsen
553286390,"Dragon Wing (The Death Gate Cycle, #1)","Margaret Weis, Tracy Hickman"
385333900,Jailbird,Kurt Vonnegut Jr.
1401213510,Y: The Last Man Vol. 9: Motherland,"Brian K. Vaughan, Pia Guerra, Goran Sudžuka, José Marzán Jr."
380817926,Ilium,Dan Simmons
1608866874,,"Noelle Stevenson, Grace Ellis, Shannon Waters, Shannon Watters, Brooke A. Allen, Faith Hicks, Kat Leyh, Brooke Allen, Carolyn Nowak, Various, Carey Pietsch"
553062182,The Highly Sensitive Person - How to Thrive when the World Overwhelms You,Elaine N. Aron
385515995,The Palace of Illusions,Chitra Banerjee Divakaruni
385495404,The First American: The Life and Times of Benjamin Franklin,H.W. Brands
446617091,Dance of Death,"Douglas Preston, Lincoln Child"
547248040,This World We Live In,Susan Beth Pfeffer
1591167531,Hunter × Hunter #1,"Yoshihiro Togashi, 冨樫 義博"
749934131,Vengeance in Death,J.D. Robb
553575384,To Say Nothing of the Dog,Connie Willis
1846054761,The Gift,"James Patterson, Ned Rust"
60092572,The Terminal Man,Michael Crichton
,A Song of Ice and Fire Graphic Novels,"Daniel Abraham, George R.R. Martin, Tommy Patterson"
1416963960,White Cat,Holly Black
679722319,Where I’m Calling From: The Selected Stories,Raymond Carver
014303541X,Something Rotten,Jasper Fforde
517580519,The Land of the Painted Caves,Jean M. Auel
60569662,Autobiography of a Face,Lucy Grealy
62224107,Vanishing Girls,Lauren Oliver
736421866,Snow White and the Seven Dwarfs,Walt Disney Company
006124242X,Darke,"Angie Sage, Mark Zug"
810996162,The Wimpy Kid Movie Diary: How Greg Heffley Went Hollywood,Jeff Kinney
679722637,The Thin Man,Dashiell Hammett
316726192,Trading Up,Candace Bushnell
553279718,The Uplift War,David Brin
380974738,Rage of a Demon King (The Serpentwar Saga #3),Raymond E. Feist
140186301,Lucky Jim,"Kingsley Amis, David Lodge"
60534052,A Faint Cold Fear,Karin Slaughter
399167846,The Rose Society,Marie Lu
345484274,Angel Falls,Kristin Hannah
670011304,Waiting For You,Susane Colasanti
147673190X,The Short and Tragic Life of Robert Peace: A Brilliant Young Man Who Left Newark for the Ivy League,Jeff Hobbs
425201333,,Li Cunxin
553807234,The Neighbor,Lisa Gardner
140121813X,Y: The Last Man Vol. 10: Whys And Wherefores,"Brian K. Vaughan, Pia Guerra, José Marzán Jr."
812520475,Eon,Greg Bear
812993101,The Summer Before the War,Helen Simonson
679723951,"Erinnerungen, Träume, Gedanken von C.G. Jung","C.G. Jung, Aniela Jaffé, Richard Winston, Clara Winston"
425234339,Bullet,Laurell K. Hamilton
1409135195,The Scottish Prisoner,Diana Gabaldon
60725133,Reunion,Meg Cabot
,بيكاسو وستاربكس,ياسر حارب
571206921,Směšné lásky ,"Milan Kundera, Suzanne Rappaport"
61230839,The Secret Diaries of Miss Miranda Cheever,Julia Quinn
1557091528,The Constitution of the United States of America,Founding Fathers
382285980X,Gustav Klimt: le monde comme une forme féminine,Gilles Néret
60955228,Under the Volcano,Malcolm Lowry
,Sleep tight,Rachel Abbott
679824111,Dinosaurs Before Dark,"Mary Pope Osborne, Salvatore Murdocca"
1416505490,Have Space Suit - Will Travel,Robert A. Heinlein
1598184318,The Sea Wolf,Jack London
60725141,Darkest Hour,Meg Cabot
1770460608,Hark! A Vagrant,Kate Beaton
375727132,The Dive From Clausen's Pier,Ann Packer
60576170,Der Tod in Venedig,"Thomas Mann, Michael Henry Heim, Michael Cunningham"
62508342,The Tibetan Book of Living and Dying,"Sogyal Rinpoche, Andrew Harvey"
345482409,Enchantment,Orson Scott Card
1594561796,The Fall of the House of Usher ,Edgar Allan Poe
141691420X,The Soldiers of Halla,D.J. MacHale
385732074,"The Boyfriend List: 15 Guys, 11 Shrink Appointments, 4 Ceramic Frogs and Me, Ruby Oliver (Ruby Oliver, #1)",E. Lockhart
140236236,Regeneration,Pat Barker
,Four: The Initiate,Veronica Roth
91879205,Lucky Man,Michael J. Fox
1841957178,The Penelopiad,Margaret Atwood
1597801607,The Improbable Adventures of Sherlock Holmes,"John Joseph Adams, Robert J. Sawyer, Stephen King, Michael Moorcock, Sharyn McCrumb, Stephen Baxter, Anne Perry, Barbara Hambly, Tanith Lee, Neil Gaiman, Rob Rogers, Naomi Novik, Anthony Burgess, Dominic Green, Laurie R. King, Barbara Roden, Peter Tremayne, Tim Lebbon, Bradley H. Sinor, Edward D. Hoch, Vonda N. McIntyre, Darrell Schweitzer, Mary Robinette Kowal, H.Paul Jeffers, Geoffrey A. Landis, Amy Myers, Tony Pi, Chris Roberson, Mark Valentine"
743265025,The Starter Wife,Gigi Levangie Grazer
140120077X,"Fables, Volume 2: Animal Farm","Bill Willingham, Mark Buckingham, Steve Leialoha, James Jean"
067974472X,The Fire Next Time,"James     Baldwin, Kıvanç Güney"
786837462,Don't Let the Pigeon Stay Up Late!,Mo Willems
1401204953,We3,"Grant Morrison, Frank Quitely"
60096128,Princess in Pink,Meg Cabot
